Temperature,Humidity,Value,Opponent,Country,StatsName,FullName,Temperature_zscore,Humidity_zscore,Average_zscore
19,76,0.0,North Macedonia,Austria,Tackles won,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Clearances,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Recovered balls,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,22.0,North Macedonia,Austria,Passes completed,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,69.0,North Macedonia,Austria,Passes accuracy,Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,5526.0,North Macedonia,Austria,Distance covered (m),Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2161.0,North Macedonia,Austria,Distance covered in possession (m),Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,17.4,North Macedonia,Austria,Top Speed (Km/h),Daniel Bachmann,-1.131248904719205,1.6401957162583876,0.2544734057695913
